Steps 52
logT
VS
Componente_Y_del_desplazamiento_del_nodo 26
0                                       0
0.1                  -7.67955792860358e-07
0.2                  -1.43427103404166e-06
0.3                  -2.08480084310548e-06
0.4                  -2.79587403695321e-06
0.5                  -3.63113658730628e-06
0.6                  -4.64229728251866e-06
0.7                  -5.8709762065533e-06
0.8                  -7.35062011063063e-06
0.9                  -9.10815937048218e-06
1                    -1.11653493524539e-05
2                    -3.79108363377915e-05
3                    -7.74341414172932e-05
4                    -0.000116237444805775
5                    -0.000154070806261873
6                    -0.000190746700012973
7                    -0.000226509585574571
8                    -0.000261821967381069
9                    -0.00029698074544293
10                   -0.00033225271728149
20                   -0.000703210681077103
30                   -0.00110279071633955
40                   -0.00151468918840713
50                   -0.00192594754284993
60                   -0.00233157964800967
70                   -0.00272852583245013
80                   -0.00311567035177563
90                   -0.00349263564727159
100                  -0.00385952217866067
200                  -0.00709511629044234
300                  -0.00972819852804976
400                   -0.0120038775602425
500                   -0.0140395027033757
600                   -0.0158967530177677
700                   -0.0176158939130962
800                   -0.0192237512941423
900                   -0.0207397157686274
1000                  -0.0221779943919014
2000                  -0.0339560521519584
3000                  -0.0423499236077202
4000                  -0.0486692648900606
5000                  -0.0533683927698931
6000                  -0.0568724748134913
7000                  -0.0594836621065902
8000                  -0.0614298602367339
9000                  -0.0628803043623567
10000                 -0.0639613284026292
20000                 -0.0677152877141057
30000                 -0.0670140718981297
40000                 -0.0671450512521308
50000                 -0.0671205888749623
60000                 -0.0671251546688606
