Steps 52
logT
VS
Componente_Y_del_desplazamiento_del_nodo 6
0                                       0
0.1                     -3.4633870573e-07
0.2                  -6.92565269441274e-07
0.3                  -1.03867922683859e-06
0.4                  -1.38468016320812e-06
0.5                  -1.73056771313606e-06
0.6                  -2.07634156022323e-06
0.7                  -2.42200143679703e-06
0.8                  -2.7675471236203e-06
0.9                  -3.11297844959545e-06
1                    -3.45829529146768e-06
2                    -3.4469159201474e-06
3                    -3.43570744767364e-06
4                    -3.42510959335402e-06
5                    -3.41552836763527e-06
6                    -3.40733448646827e-06
7                    -3.40086233763781e-06
8                     -3.396409428395e-06
9                    -3.39423625039039e-06
10                   -3.39456650406687e-06
20                   -3.55243846344885e-06
30                   -3.95363558334531e-06
40                   -4.44779950218782e-06
50                   -4.80280614721742e-06
60                   -4.80176498441716e-06
70                   -4.29478633097505e-06
80                   -3.21419937989549e-06
90                   -1.56859621456929e-06
100                  5.72422778155951e-07
200                  1.12591478808395e-05
300                  -4.91769230950596e-05
400                  -0.000232531489761969
500                  -0.000532662573559775
600                  -0.000924290796813314
700                  -0.00138387505303542
800                  -0.00189154222254694
900                   -0.0024315408640082
1000                 -0.00299173705409782
2000                 -0.00843883306539981
3000                  -0.0129113021357038
4000                  -0.0161769577541361
5000                  -0.0186218154923772
6000                  -0.0204422132329167
7000                  -0.0217991811377874
8000                  -0.0228105036938566
9000                  -0.0235642205631148
10000                 -0.0241259703222973
20000                 -0.0260766951256145
30000                 -0.0257123120107904
40000                 -0.0257803742189042
50000                 -0.0257676631983117
60000                 -0.0257700350180153
