Steps 52
logT
VS
Componente_Y_del_desplazamiento_del_nodo 11
0                                       0
0.1                  -6.16806934206074e-07
0.2                  -1.21629950503782e-06
0.3                  -1.80168983521911e-06
0.4                  -2.37580551090303e-06
0.5                  -2.9411369940578e-06
0.6                  -3.49985965645552e-06
0.7                  -4.05387484053589e-06
0.8                  -4.60482653330994e-06
0.9                  -5.15413708445609e-06
1                    -5.70301943334182e-06
2                    -5.53137692369599e-06
3                    -5.96207386866129e-06
4                    -6.25055182896366e-06
5                    -6.26261990515511e-06
6                    -6.0547598355708e-06
7                    -5.72319906440117e-06
8                    -5.35435809614861e-06
9                    -5.01242540226244e-06
10                   -4.73965389956702e-06
20                   -5.96574158908749e-06
30                   -9.84362607211094e-06
40                   -9.41798081007306e-06
50                   -3.47642576739964e-06
60                   5.12657048751311e-06
70                   1.36369584306222e-05
80                   1.99541807098143e-05
90                    2.2671211341372e-05
100                  2.09271865040003e-05
200                  -0.000247639977065411
300                  -0.00088446669268682
400                  -0.00172407310319277
500                  -0.00265877500163955
600                  -0.00364175777833742
700                  -0.00464535719779423
800                  -0.00565422495721034
900                  -0.00665848348172705
1000                 -0.00765172769390695
2000                  -0.0164928126748638
3000                  -0.0232714531036116
4000                  -0.0282863777455036
5000                  -0.0320277070103974
6000                  -0.0348131826785734
7000                  -0.0368881423243088
8000                  -0.0384335401969052
9000                   -0.039584631197456
10000                 -0.0404419716728637
20000                 -0.0434144731242938
30000                 -0.0428562168407629
40000                 -0.0429610653604663
50000                 -0.0429413693629669
60000                 -0.0429450730555628
