Steps 52
logT
VS
Tension_efectiva_TExx_del_elemento 6 y_del_punto_de_gauss 1
0                                       0
0.1                  -9.47901945454042e-18
0.2                  6.06268196473104e-18
0.3                  3.89162767529614e-17
0.4                  5.10651221576723e-17
0.5                  7.23594450769164e-17
0.6                  7.56477382982649e-17
0.7                  7.22079001035031e-17
0.8                   8.2928397800521e-17
0.9                  9.03020545775759e-17
1                    9.27961952728844e-17
2                    9.66041101092571e-17
3                    9.78907399487661e-17
4                    1.01144533957583e-16
5                    1.05852749025033e-16
6                    1.07141606980629e-16
7                    1.10309570773488e-16
8                    1.14267500261017e-16
9                    1.16118093806094e-16
10                   1.18341318891687e-16
20                    1.4683040936352e-16
30                   1.64455499054338e-16
40                   1.70782751464296e-16
50                   1.66271835343208e-16
60                   1.70512227227482e-16
70                   1.88436016160903e-16
80                   1.87671924327102e-16
90                   1.75889669913827e-16
100                  1.79818819130613e-16
200                  2.07121355544786e-16
300                  2.31290947234552e-16
400                  2.03525543776629e-16
500                  2.34480037663853e-16
600                   2.2857468186117e-16
700                  2.33916262900805e-16
800                   2.0963990408325e-16
900                  2.02731421483059e-16
1000                 1.90186318582474e-16
2000                 2.77733120314046e-16
3000                 2.96961476149753e-16
4000                 2.56195695767034e-16
5000                 3.06883986585585e-16
6000                 3.16470582154431e-16
7000                  2.7843143142586e-16
8000                 3.19342161912865e-16
9000                 3.13201896438358e-16
10000                3.21461515672143e-16
20000                3.12641561837277e-16
30000                3.27353186021817e-16
40000                3.10423869746982e-16
50000                3.27255417323685e-16
60000                3.10563249833553e-16
